ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1312182,ABDURAIMOV Elnur,M,27,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Boxing,Men's Light (57-63kg),NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,NA
1285163,ABDURAKHIMOV Rasuljon,M,24,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,NA
1285952,ABDURAKHMONOV Bekzod,M,31,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Freestyle 74kg,Bronze
1315347,ABE Hifumi,M,23,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Judo,Men -66 kg,Gold
1315347,ABE Hifumi,M,23,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Judo,Mixed Team,Silver
1319304,ABE Takatoshi,M,29,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,NA
1315319,ABE Uta,F,21,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Judo,Women -52 kg,Gold
1315319,ABE Uta,F,21,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Judo,Mixed Team,Silver
1450589,ABEBE Mekides,F,20,NA,NA,Ethiopia,ETH,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 3000m Steeplechase,NA
1289091,ABEDINI Mojtaba,M,36,NA,NA,Iran,IRI,2020 Summer,2020,Summer,Tokyo,Fencing,Men's Sabre Individual,NA
1289091,ABEDINI Mojtaba,M,36,NA,NA,Iran,IRI,2020 Summer,2020,Summer,Tokyo,Fencing,Men's Sabre Team,NA
1469699,ABEL Jennifer,F,29,NA,NA,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Diving,Women's 3m Springboard,NA
1469699,ABEL Jennifer,F,29,NA,NA,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Diving,Women's Synchronised 3m Springboard Team,Silver
1284065,ABELA Matthew,M,22,NA,NA,Malta,MLT,2020 Summer,2020,Summer,Tokyo,Badminton,Men's Singles,NA
1343652,ABELVIK ROED Magnus,M,24,NA,NA,Norway,NOR,2020 Summer,2020,Summer,Tokyo,Handball,Men Team,NA
1457675,ABEYSINGHE Matthew,M,25,NA,NA,Sri Lanka,SRI,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 100m Freestyle,NA
1354754,ABIAN Pablo,M,36,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Badminton,Men's Singles,NA
1428701,ABICHA Mohammed,M,41,NA,NA,Morocco,MAR,2020 Summer,2020,Summer,Tokyo,Beach Volleyball,Men Team,NA
1330779,ABICHT Lorena,F,27,NA,NA,Austria,AUT,2020 Summer,2020,Summer,Tokyo,Sailing,Women's Skiff - 49er  Team,NA
1307563,ABIDINE Abidine,M,28,NA,NA,Mauritania,MTN,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 5000m,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's All-Around,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Floor Exercise,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Pommel Horse,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Rings,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Vault,Silver
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Parallel Bars,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,NA
1406250,ABLIAZIN Denis,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Men's Team,Gold
1351464,ABNER,M,21,NA,NA,Brazil,BRA,2020 Summer,2020,Summer,Tokyo,Football,Men Team,Gold
1518857,ABOUD Hadel,F,21,NA,NA,Libya,LBA,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,NA
1321978,ABOUELKASSEM Alaaeldin,M,30,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Fencing,Men's Foil Individual,NA
1321978,ABOUELKASSEM Alaaeldin,M,30,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Fencing,Men's Foil Team,NA
1478734,ABOUKE Nancy Genzel,F,18,NA,NA,Nauru,NRU,2020 Summer,2020,Summer,Tokyo,Weightlifting,Women's 76kg,NA
1465453,ABRAHAM Tadesse,M,38,NA,NA,Switzerland,SUI,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,NA
1337650,ABRAHAMS Rusten John,M,23,NA,NA,South Africa,RSA,2020 Summer,2020,Summer,Tokyo,Hockey,Men Team,NA
1334678,ABRAMS Aliyah,F,24,NA,NA,Guyana,GUY,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 400m,NA
1459262,ABRAMS Jasmine,F,27,NA,NA,Guyana,GUY,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,NA
1313358,ABRAMYAN Benik,M,36,NA,NA,Georgia,GEO,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Shot Put,NA
1449935,ABREU Diogo,M,27,NA,NA,Portugal,POR,2020 Summer,2020,Summer,Tokyo,Trampoline Gymnastics,Men,NA
1765160,ABRINES Alex,M,28,NA,NA,Spain,ESP,2020 Summer,2020,Summer,Tokyo,Basketball,Men Team,NA
1431408,ABROSIMOV Kirill,M,29,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Marathon Swimming,Men's 10km,NA
1849510,ABU RABEE Asma,F,29,NA,NA,Jordan,JOR,2020 Summer,2020,Summer,Tokyo,Shooting,10m Air Pistol Women,NA
1884707,ABU RMILAH Wesam,M,25,NA,NA,Palestine,PLE,2020 Summer,2020,Summer,Tokyo,Judo,Men -81 kg,NA
1347019,ABUAKU Joshua,M,25,NA,NA,Germany,GER,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m Hurdles,NA
1325069,ABUJBARA Tala,F,29,NA,NA,Qatar,QAT,2020 Summer,2020,Summer,Tokyo,Rowing,Women's Single Sculls,NA
1350377,ACERENZA Domenico,M,26,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 1500m Freestyle,NA
1295011,ACETI Vladimir,M,22,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,NA
1295011,ACETI Vladimir,M,22,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Athletics,4 x 400m Relay Mixed Team,NA
1459647,ACEVEDO Javier,M,23,NA,NA,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Swimming,Mixed 4 x 100m Medley Relay Team,NA
1393661,ACHAB Jaouad,M,28,NA,NA,Belgium,BEL,2020 Summer,2020,Summer,Tokyo,Taekwondo,Men -68kg,NA
1307874,ACHANTA Kamal,M,39,NA,NA,India,IND,2020 Summer,2020,Summer,Tokyo,Table Tennis,Men's Singles,NA
1307874,ACHANTA Kamal,M,39,NA,NA,India,IND,2020 Summer,2020,Summer,Tokyo,Table Tennis,Mixed Doubles Team,NA
1325288,ACHE Ragnar,M,23,NA,NA,Germany,GER,2020 Summer,2020,Summer,Tokyo,Football,Men Team,NA
1464052,ACHILLEOS Georgios,M,40,NA,NA,Cyprus,CYP,2020 Summer,2020,Summer,Tokyo,Shooting,Skeet Men,NA
1400561,ACHIUWA Precious,M,21,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Basketball,Men Team,NA
1432990,ACHONWA Natalie,F,28,NA,NA,Canada,CAN,2020 Summer,2020,Summer,Tokyo,Basketball,Women Team,NA
1420788,ACHOURI Haikel,M,36,NA,NA,Tunisia,TUN,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 97kg,NA
1344107,ACIN Nikola,M,21,NA,NA,Serbia,SRB,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 4 x 100m Freestyle Relay Team,NA
1297381,ACKERMANN Simone,F,31,NA,NA,South Africa,RSA,2020 Summer,2020,Summer,Tokyo,Triathlon,Women's Individual,NA
1293759,ACOSTA Briseida,F,27,NA,NA,Mexico,MEX,2020 Summer,2020,Summer,Tokyo,Taekwondo,Women +67kg,NA
1309938,ACOSTA FERNANDEZ Yasmani,M,33,NA,NA,Chile,CHI,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 130kg,NA
1322474,ACOSTA GIRALDO Valentina,F,21,NA,NA,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,NA
1322474,ACOSTA GIRALDO Valentina,F,21,NA,NA,Colombia,COL,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,NA
1328219,ACOSTA Marcelo,M,25,NA,NA,El Salvador,ESA,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 800m Freestyle,NA
1328219,ACOSTA Marcelo,M,25,NA,NA,El Salvador,ESA,2020 Summer,2020,Summer,Tokyo,Swimming,Men's 1500m Freestyle,NA
1332431,ACUNA Yenny,F,24,NA,NA,Chile,CHI,2020 Summer,2020,Summer,Tokyo,Football,Women Team,NA
1313802,ADACHI Kazuya,M,30,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Canoe Slalom,Men's Kayak,NA
1316488,ADACHI Seiya,M,26,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Water Polo,Men Team,NA
1378864,ADAM Amal,F,39,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Archery,Women's Individual,NA
1378864,ADAM Amal,F,39,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Archery,Mixed Team,NA
1285944,ADAM Constantin,M,25,NA,NA,Romania,ROU,2020 Summer,2020,Summer,Tokyo,Rowing,Men's Eight Team,NA
1324426,ADAMEK Klaudia,F,22,NA,NA,Poland,POL,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 4 x 100m Relay Team,NA
1312363,ADAMKIEWICZ Patrycja,F,23,NA,NA,Poland,POL,2020 Summer,2020,Summer,Tokyo,Taekwondo,Women -57kg,NA
1481512,ADAMS Liam,M,34,NA,NA,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Marathon,NA
1349681,ADAMS Paul,M,29,NA,NA,Australia,AUS,2020 Summer,2020,Summer,Tokyo,Shooting,Skeet Men,NA
1311419,ADAMS Taeyanna,F,19,NA,NA,Federated States of Micronesia,FSM,2020 Summer,2020,Summer,Tokyo,Swimming,Women's 100m Breaststroke,NA
